organization,project,commit,mode,file_changed,comment_line_removed,comment_line_added,change_type
johnlnguyen,banner,26843ad,ADDED,banner/django.py,,9,BOTH
johnlnguyen,banner,1cf5abf,REMOVED,banner/django.py,9,,BOTH
johnlnguyen,banner,7dcc80e,ADDED,setup.py,,4,COMMENT
johnlnguyen,banner,7dcc80e,ADDED,setup.py,,8,COMMENT
johnlnguyen,banner,7dcc80e,ADDED,setup.py,,12,COMMENT
johnlnguyen,banner,7dcc80e,ADDED,setup.py,,18,BOTH
johnlnguyen,banner,bad842f,ADDED,test_banner.py,,5,COMMENT
johnlnguyen,banner,bad842f,ADDED,test_banner.py,,13,BOTH
johnlnguyen,banner,bad842f,ADDED,test_banner.py,,19,BOTH
johnlnguyen,banner,bad842f,ADDED,test_banner.py,,27,COMMENT
johnlnguyen,banner,26843ad,REMOVED,banner/django.py,9,,BOTH
johnlnguyen,banner,bad842f,ADDED,test_banner.py,,5,COMMENT
johnlnguyen,banner,bad842f,ADDED,test_banner.py,,13,BOTH
johnlnguyen,banner,bad842f,ADDED,test_banner.py,,19,BOTH
johnlnguyen,banner,bad842f,ADDED,test_banner.py,,27,COMMENT
